name,group_num,independent_num,total_in_groups,density_avg,density_std,within_avg,within_std,between_avg,between_std
rdgam,2,0,12,0.8786,0.0214,0.9595,0.0342,0.0,0.0
women,1,0,16,0.4167,0.0,0.8995,0.0,0.0,0.0
football,1,0,115,0.0935,0.0,0.4187,0.0,0.0,0.0
jazz,1,6,192,0.1492,0.0,0.7206,0.0,0.0,0.0
lesmis,1,20,57,0.1454,0.0,0.8467,0.0,0.0,0.0
camp92,3,0,18,0.7127,0.138,0.7112,0.1348,0.0,0.0
prisonInter,5,21,46,0.587,0.3013,0.6432,0.1248,0.0371,0.0751
karate,1,2,32,0.1512,0.0,0.672,0.0,0.0,0.0
k-core,1,18,8,0.4643,0.0,0.6731,0.0,0.0,0.0
ragusa16,1,8,16,0.3917,0.0,0.6423,0.0,0.0,0.0
dolphins,1,16,46,0.1324,0.0,0.4307,0.0,0.0,0.0
celegans,1,20,277,0.0552,0.0,0.3527,0.0,0.0,0.0
s208,1,39,83,0.0397,0.0,0.1086,0.0,0.0,0.0
ba_sfn,1,64,36,0.1063,0.0,0.4744,0.0,0.0,0.0
leader,1,1,31,0.1656,0.0,0.3925,0.0,0.0,0.0
florentine,2,8,7,0.9167,0.0833,0.5571,0.0495,0.0,0.0
