m_param,skew_hpi_mean,skew_hpi_std,skew_cos_mean,skew_cos_std,mean_hpi_mean,mean_hpi_std,mean_cos_mean,mean_cos_std,r_one_hpi_mean,r_one_hpi_std,r_one_cos_mean,r_one_cos_std,zero_pct_mean,zero_pct_std,n_mean,n_std,m_edges_mean,m_edges_std,k_mean_mean,k_mean_std,k_max_mean,k_max_std,k_min_mean,k_min_std,k_max_over_mean_mean,k_max_over_mean_std,k2_over_k_mean,k2_over_k_std
20,0.2884275939106045,0.08481798828051895,0.19709506026411908,0.012644628930279709,0.34529244079983346,0.0025334510586814455,0.2502076866657592,0.0009731973739283818,0.00017361111111111112,0.0002455231879119957,0.0,0.0,0.21302083333333333,0.013503775335159793,200.0,0.0,3600.0,0.0,36.0,0.0,110.5,7.7781745930520225,20.0,0.0,3.0694444444444446,0.21606040536255636,44.89,0.14809958694851508
15,0.31603231417086447,0.1312952596969519,0.15024400439262703,0.009734321648564352,0.285623985164202,0.008777945870473116,0.20170170532687848,0.0037000664703432566,0.0006756756756756757,0.0009555497043061454,0.0,0.0,1.7813063063063064,0.1309103094899419,200.0,0.0,2775.0,0.0,27.75,0.0,90.0,15.556349186104045,14.0,1.4142135623730951,3.243243243243243,0.5605891598596054,35.771171171171176,0.5004532318019421
10,0.44317528609990486,0.05496638845796036,0.21158927772437186,0.0054019764551600175,0.23302946880370268,0.021827822582132977,0.15373780560759984,0.008576814893557641,0.000986842105263158,0.0013956054891839755,0.0,0.0,9.026973684210526,1.045773713228526,200.0,0.0,1900.0,0.0,19.0,0.0,73.5,16.263455967290593,9.5,0.7071067811865476,3.8684210526315788,0.855971366699505,26.580789473684213,1.1570499908994638
8,0.5812193291580261,0.051830536292171867,0.28287510900048873,0.011678888085193385,0.21109568558455358,0.008896170532335044,0.13279895065886854,0.0031692352815989137,0.003662109375,0.002877224858343699,0.0,0.0,16.123046875,0.7100990950392254,200.0,0.0,1536.0,0.0,15.36,0.0,66.0,9.899494936611665,8.0,0.0,4.296875,0.6444983682689888,22.7392578125,0.4571334854936469
6,0.7466340963569045,0.05318804406039386,0.4200308389808092,0.03495809521495106,0.19153943038501686,0.006891273328265676,0.11210695738837068,0.0035581082751329706,0.0273840206185567,0.0022780501971216087,0.0,0.0,27.402276632302403,0.8854021766145985,200.0,0.0,1164.0,0.0,11.64,0.0,58.0,1.4142135623730951,5.5,0.7071067811865476,4.982817869415808,0.12149601051315269,18.849656357388312,0.2745809837597237
5,0.9309615887043718,0.056119119891018074,0.6247114857774256,0.06556227606584264,0.16608127367815234,0.016543990372001688,0.09511882060867521,0.006127507248830696,0.06346153846153846,0.03535533905932738,0.0,0.0,36.91538461538461,2.3842190186161774,200.0,0.0,975.0,0.0,9.75,0.0,57.0,2.8284271247461903,5.0,0.0,5.846153846153847,0.29009508971755754,16.137435897435896,0.7078320189108407
4,1.2161113628988711,0.058463449955423526,0.9476143938061174,0.07408517546234684,0.13766593153931816,0.014332326496662324,0.07723201485524839,0.005234358045644712,0.13552295918367346,0.06989894839535386,0.0,0.0,49.15736607142857,2.379946452622456,200.0,0.0,784.0,0.0,7.84,0.0,40.5,6.363961030678928,4.0,0.0,5.165816326530613,0.8117297233008837,13.263392857142858,0.6647164511919467
3,1.5969137211684155,0.014845493763119944,1.4305984518633328,0.039447066002514734,0.12768882524077935,0.006295102246009737,0.06541594603718481,0.002022185619210115,0.7265228426395939,0.16899971716175952,0.0,0.0,60.14699661590525,0.9676355487049401,200.0,0.0,591.0,0.0,5.91,0.0,44.0,1.4142135623730951,3.0,0.0,7.4450084602368864,0.23929163491930594,11.181049069373941,0.2512562166652707
2,2.4868353741179883,0.44369807587876386,2.799423894513988,0.3119422665044918,0.11755338030090072,0.028279586494799832,0.05072187989202587,0.008844631527123396,4.946338383838384,1.5490281128265913,0.07102272727272727,0.015624202867126999,73.18181818181819,4.531018831466825,200.0,0.0,396.0,0.0,3.96,0.0,40.0,8.48528137423857,2.0,0.0,10.1010101010101,2.142747821777416,8.98989898989899,1.1785113019775801
1,4.356055230749167,0.4030236635567684,4.7897988902312125,0.30341614203619294,0.0467233086218639,0.007389441250663144,0.02064680995685898,0.0013082566135671385,2.0037688442211055,0.6840103285347259,0.025125628140703515,0.017766502039863002,89.60427135678393,0.3908630448769741,200.0,0.0,199.0,0.0,1.99,0.0,31.0,9.899494936611665,1.0,0.0,15.577889447236181,4.974620571161641,6.273869346733668,0.9771576121924654
