label,n,mean,std,skew,excess_kurt,sw_p,ad_A2,threshold,cov_pct,gap_from_95
0.0,200,0.02133,0.00461166,0.0790231,-0.125575,0.612742,0.497111,0.0305533,98,3
0.001,200,0.020955,0.00445446,0.0766141,0.382749,0.287583,0.776938,0.0298639,97,2
0.002,200,0.0208991,0.00479681,0.315939,0.425951,0.0421694,1.13022,0.0304927,97.5,2.5
0.004,200,0.0218185,0.00453909,0.180603,-0.00498464,0.172785,0.663463,0.0308966,97.5,2.5
0.008,200,0.0212551,0.00437795,0.0946521,-0.564672,0.07274,0.788894,0.030011,98.5,3.5
0.016,200,0.0222399,0.00453386,0.321853,-0.14962,0.0151838,1.3791,0.0313076,96,1
0.032,200,0.0230084,0.00455386,0.0458901,-0.085921,0.51699,0.378618,0.0321162,98,3
0.064,200,0.0245674,0.00495696,0.283474,0.156506,0.291904,0.614734,0.0344813,97,2
0.128,200,0.0279539,0.00449257,0.543131,0.660417,0.00730131,0.606575,0.0369391,96.5,1.5
0.256,200,0.031979,0.00422232,0.0201958,-0.148754,0.733668,0.272209,0.0404237,97.5,2.5
0.384,200,0.0390068,0.00443033,-0.0548449,0.118861,0.730819,0.279956,0.0478674,98,3
0.512,200,0.0422086,0.00398255,-0.264764,0.267156,0.456133,0.388934,0.0501737,98.5,3.5
0.640,200,0.0468715,0.00363879,0.105169,0.106834,0.89103,0.235933,0.0541491,97,2
0.768,200,0.0526836,0.00389479,-0.115163,-0.0256208,0.986478,0.127042,0.0604732,98.5,3.5
0.896,200,0.0551113,0.00336146,0.261334,-0.424023,0.0340376,0.922829,0.0618342,97,2
1.0,200,0.058698,0.00371821,0.20637,0.1282,0.622993,0.260325,0.0661344,95.5,0.5
