label,n,mean,std,skew,excess_kurt,sw_p,ad_A2,threshold,cov_pct,gap_from_95
0.0,200,0.02133,0.00461166,0.0790231,-0.125575,0.612742,0.497111,0.0305533,98,3
0.001,200,0.020955,0.00445446,0.0766141,0.382749,0.287583,0.776938,0.0298639,97,2
0.002,200,0.0208477,0.00478193,0.314009,0.426845,0.0649367,0.998367,0.0304116,97.5,2.5
0.004,200,0.0215771,0.00449332,0.193778,0.0117181,0.283724,0.507116,0.0305637,97,2
0.008,200,0.0209904,0.00431975,0.0955161,-0.577178,0.146967,0.585259,0.0296299,98.5,3.5
0.016,200,0.021773,0.00442857,0.321934,-0.15218,0.0280016,1.20824,0.0306302,96.5,1.5
0.032,200,0.0224279,0.00444113,0.034548,-0.100002,0.729761,0.255225,0.0313102,98,3
0.064,200,0.0233182,0.00472079,0.275244,0.134652,0.310161,0.595704,0.0327598,97,2
0.128,200,0.0257624,0.00414721,0.552928,0.693676,0.00528572,0.627741,0.0340568,96.5,1.5
0.256,200,0.0291333,0.00383688,0.0138158,-0.212541,0.727852,0.292219,0.0368071,97.5,2.5
0.384,200,0.0349825,0.00395229,-0.0325249,0.212566,0.74238,0.277224,0.0428871,98,3
0.512,200,0.0381376,0.00358996,-0.228939,0.221443,0.544899,0.38748,0.0453175,99,4
0.640,200,0.0416737,0.00325822,0.171573,0.107331,0.634539,0.366683,0.0481901,97,2
0.768,200,0.0475672,0.0035313,-0.137961,0.000531389,0.936121,0.154096,0.0546298,98.5,3.5
0.896,200,0.0498091,0.00303218,0.252678,-0.471349,0.0333294,0.866944,0.0558735,97,2
1.0,200,0.0534816,0.00339276,0.197853,0.108645,0.786733,0.194944,0.0602671,96,1
