label,n,mean,std,skew,excess_kurt,sw_p,ad_A2,threshold,cov_pct,gap_from_95
rdgam,200,0.39914,0.0658549,-0.097797,1.07038,0.00775217,0.610372,0.53085,99,4
women,200,0.51646,0.0389676,0.0403197,-0.24347,0.849695,0.142382,0.594395,97,2
lesmis,200,0.317721,0.0176937,0.265571,0.758463,0.152837,0.501504,0.353108,96.5,1.5
jazz,200,0.331914,0.00271753,-0.322396,0.381629,0.19218,0.657314,0.337349,98.5,3.5
karate,200,0.459605,0.0558037,0.0315062,1.00781,0.0784532,0.736408,0.571212,98,3
camp92,200,0.182548,0.0649543,0.178313,-0.000951707,0.478752,0.379182,0.312456,97.5,2.5
ragusa16,200,0.575154,0.0494458,-0.211875,-0.164854,0.403652,0.248173,0.674045,99,4
football,200,0.0821482,0.00585439,-0.022403,-0.333564,0.521744,0.37219,0.093857,97,2
dolphins,200,0.136795,0.0207936,0.541734,0.372619,0.0027467,0.765978,0.178382,96,1
celegans,200,0.195713,0.00438883,-0.205558,-0.124122,0.369943,0.435285,0.204491,99,4
leader,200,0.222552,0.0377956,0.205566,-0.214939,0.448833,0.474039,0.298143,98,3
prisonInter,200,0.0843968,0.0211914,0.38562,0.737559,0.111698,0.357751,0.12678,96,1
k-core,200,0.12996,0.0581705,0.0261385,-0.23492,0.325089,0.416866,0.246301,99,4
florentine,200,0.18,0.0922113,0.28179,-0.238933,0.000664836,1.54982,0.364423,96.5,1.5
ba_sfn,200,0.155548,0.027971,-0.0452414,0.770973,0.0907846,0.574246,0.21149,98,3
s208,200,0.0252288,0.0132012,0.279049,-0.025991,0.0521836,0.495219,0.0516312,96.5,1.5
