label,n,mean,std,skew,excess_kurt,sw_p,ad_A2,threshold,cov_pct,gap_from_95
rdgam,200,0.340043,0.0537821,-0.0787351,1.02801,0.0176522,0.532778,0.447608,99,4
women,200,0.420931,0.0288178,-0.0767823,-0.446118,0.495906,0.298779,0.478566,98,3
lesmis,200,0.204053,0.0103442,0.228809,1.30289,0.0676708,0.47172,0.224741,97.5,2.5
jazz,200,0.242083,0.00205476,-0.154762,0.141279,0.556047,0.351756,0.246192,99,4
karate,200,0.242883,0.02928,0.266412,1.43844,0.0126405,0.754131,0.301443,97,2
camp92,200,0.154806,0.0544049,0.155391,-0.0547656,0.540131,0.356429,0.263616,97.5,2.5
ragusa16,200,0.372784,0.0299565,-0.109392,-0.440517,0.238875,0.302029,0.432697,99,4
football,200,0.0787634,0.00558662,-0.0217084,-0.311851,0.512331,0.3621,0.0899366,97,2
dolphins,200,0.103658,0.0141843,0.293508,0.0920513,0.127998,0.420278,0.132026,97.5,2.5
celegans,200,0.113703,0.0026241,-0.279776,0.209578,0.0944577,0.626173,0.118951,98.5,3.5
leader,200,0.159831,0.0272832,0.193975,-0.275524,0.353255,0.546766,0.214397,97,2
prisonInter,200,0.0609818,0.0147803,0.419968,0.918321,0.0451913,0.42456,0.0905423,96.5,1.5
k-core,200,0.0836133,0.0356982,0.000746159,-0.110552,0.378041,0.377294,0.15501,97.5,2.5
florentine,200,0.135936,0.0692529,0.292638,-0.246237,0.00523845,1.13853,0.274441,97.5,2.5
ba_sfn,200,0.0746768,0.0131613,-0.0165245,0.852639,0.080349,0.921829,0.100999,97.5,2.5
s208,200,0.017902,0.00945937,0.371214,0.101509,0.0217027,0.553527,0.0368208,96,1
