label,n,mean,std,skew,excess_kurt,sw_p,ad_A2,threshold,cov_pct,gap_from_95
0.0,200,0.021325,0.00473832,0.331128,-0.164837,0.0331792,0.862263,0.0308016,96,1
0.001,200,0.0205075,0.00438245,0.133935,0.319649,0.200341,0.444282,0.0292724,98,3
0.002,200,0.0218529,0.00466622,0.0533303,0.310343,0.32847,0.559628,0.0311853,96.5,1.5
0.004,200,0.0216386,0.00438352,0.187247,0.334446,0.62297,0.333372,0.0304057,97.5,2.5
0.008,200,0.0213239,0.00457752,0.307001,0.0705678,0.128212,0.72989,0.0304789,97,2
0.016,200,0.0218526,0.0044431,0.0959566,-0.23981,0.56222,0.327031,0.0307388,97.5,2.5
0.032,200,0.0217176,0.0046531,0.215887,-0.159028,0.435387,0.256073,0.0310238,97,2
0.064,200,0.023641,0.00456758,-0.127566,-0.255726,0.563494,0.337707,0.0327761,97.5,2.5
0.128,200,0.0237523,0.00480504,0.191908,0.00496433,0.625576,0.261051,0.0333624,96.5,1.5
0.256,200,0.0261821,0.00488556,-0.0118932,-0.0656202,0.638364,0.248323,0.0359532,97,2
0.384,200,0.0272079,0.00551164,-0.150223,-0.433462,0.332909,0.368829,0.0382311,98.5,3.5
0.512,200,0.0282995,0.00595993,0.232658,0.347594,0.616021,0.244176,0.0402193,97,2
0.640,200,0.0281287,0.00525688,0.179151,0.0488214,0.455767,0.457695,0.0386424,97.5,2.5
0.768,200,0.0302064,0.00544347,0.273537,0.647285,0.0262475,0.510746,0.0410933,99,4
0.896,200,0.0306471,0.0060977,-0.0795739,0.0558748,0.354318,0.552834,0.0428425,97,2
1.0,200,0.029768,0.00593062,-0.085669,-0.256249,0.11843,0.709675,0.0416292,99,4
