label,n,mean,std,skew,excess_kurt,sw_p,ad_A2,threshold,cov_pct,gap_from_95
0.0,200,0.021325,0.00473832,0.331128,-0.164837,0.0331792,0.862263,0.0308016,96,1
0.001,200,0.0204639,0.00437505,0.142217,0.318974,0.192505,0.447581,0.029214,98,3
0.002,200,0.0217157,0.00462847,0.0437119,0.318876,0.298632,0.60306,0.0309727,96.5,1.5
0.004,200,0.0212865,0.00431796,0.197551,0.361599,0.452888,0.425109,0.0299224,97,2
0.008,200,0.0211462,0.00453511,0.310556,0.070888,0.104447,0.785468,0.0302164,97,2
0.016,200,0.0213262,0.00432991,0.100044,-0.242402,0.495828,0.380794,0.029986,97,2
0.032,200,0.0210157,0.0045093,0.223362,-0.1415,0.412509,0.283429,0.0300343,97,2
0.064,200,0.0222772,0.00430602,-0.126785,-0.262437,0.693781,0.313178,0.0308893,98,3
0.128,200,0.0219965,0.00447944,0.16863,0.0109266,0.738503,0.265567,0.0309554,96.5,1.5
0.256,200,0.0229504,0.00426605,0.00159444,0.0136278,0.431505,0.277131,0.0314825,96.5,1.5
0.384,200,0.023415,0.00471254,-0.175582,-0.382875,0.30922,0.371821,0.0328401,99,4
0.512,200,0.0239629,0.00496169,0.279101,0.483751,0.40019,0.297362,0.0338863,96.5,1.5
0.640,200,0.0238577,0.0043862,0.194946,0.117849,0.527744,0.306826,0.0326302,97,2
0.768,200,0.0248268,0.00441497,0.330182,0.8835,0.0130417,0.525865,0.0336567,99,4
0.896,200,0.0253086,0.00501493,-0.0698178,-0.0986285,0.448043,0.368371,0.0353385,97.5,2.5
1.0,200,0.0244938,0.00485082,-0.034496,-0.247721,0.174909,0.684357,0.0341955,99,4
