name,group_num,independent_num,total_in_groups,density_avg,density_std,within_avg,within_std,between_avg,between_std
rdgam,2,0,12,0.8786,0.0214,0.8315,0.0067,0.0,0.0
women,1,0,16,0.4167,0.0,0.7435,0.0,0.0,0.0
football,1,0,115,0.0935,0.0,0.405,0.0,0.0,0.0
jazz,1,7,191,0.1506,0.0,0.5489,0.0,0.0,0.0
lesmis,1,20,57,0.1454,0.0,0.6343,0.0,0.0,0.0
camp92,3,0,18,0.7127,0.138,0.5928,0.1325,0.0,0.0
prisonInter,4,21,46,0.5952,0.358,0.4744,0.1366,0.0182,0.0484
karate,1,2,32,0.1512,0.0,0.3459,0.0,0.0,0.0
k-core,1,18,8,0.4643,0.0,0.495,0.0,0.0,0.0
ragusa16,1,8,16,0.3917,0.0,0.4202,0.0,0.0,0.0
dolphins,1,16,46,0.1324,0.0,0.3425,0.0,0.0,0.0
celegans,1,19,278,0.055,0.0,0.2235,0.0,0.0,0.0
s208,1,39,83,0.0397,0.0,0.0841,0.0,0.0,0.0
ba_sfn,1,64,36,0.1063,0.0,0.201,0.0,0.0,0.0
leader,1,1,31,0.1656,0.0,0.276,0.0,0.0,0.0
florentine,2,9,6,0.9167,0.0833,0.5177,0.0125,0.0,0.0
