name,group_num,independent_num,total_in_groups,density_avg,density_std,within_avg,within_std,between_avg,between_std
rdgam,0,12,0,0.0,0.0,0.0,0.0,0.0,0.0
women,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0
football,0,115,0,0.0,0.0,0.0,0.0,0.0,0.0
jazz,0,198,0,0.0,0.0,0.0,0.0,0.0,0.0
lesmis,0,77,0,0.0,0.0,0.0,0.0,0.0,0.0
camp92,0,18,0,0.0,0.0,0.0,0.0,0.0,0.0
prisonInter,0,67,0,0.0,0.0,0.0,0.0,0.0,0.0
karate,0,34,0,0.0,0.0,0.0,0.0,0.0,0.0
k-core,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0
ragusa16,0,24,0,0.0,0.0,0.0,0.0,0.0,0.0
dolphins,0,62,0,0.0,0.0,0.0,0.0,0.0,0.0
celegans,0,297,0,0.0,0.0,0.0,0.0,0.0,0.0
s208,0,122,0,0.0,0.0,0.0,0.0,0.0,0.0
ba_sfn,0,100,0,0.0,0.0,0.0,0.0,0.0,0.0
leader,0,32,0,0.0,0.0,0.0,0.0,0.0,0.0
florentine,0,15,0,0.0,0.0,0.0,0.0,0.0,0.0
